experiment_no,test_model,test_parameter,number_of_nodes,network_model,network_parameter,rho,second_order,second_order_network,initial_architecture_size,architecture_constraint_min,architecture_constraint_max,second_order_architecture,Q_cost_scaling,R_cost_scaling,B_run_cost,C_run_cost,B_switch_cost,C_switch_cost,W_scaling,V_scaling,disturbance_model,disturbance_step,disturbance_number,disturbance_magnitude,prediction_time_horizon,X0_scaling,multiprocessing
1,fixed_vs_self_tuning,1,20,rand,0,1,FALSE,0,5,5,5,0,1,1,1,1,1,1,1,1,None,0,0,0,10,1,FALSE
2,fixed_vs_self_tuning,0,10,rand,0,1,FALSE,0,3,1,5,0,1,1,1,1,1,1,1,1,None,0,0,0,10,1,FALSE
3,fixed_vs_self_tuning,0,10,rand,0,1,FALSE,0,7,1,5,0,1,1,1,1,1,1,1,1,None,0,0,0,10,1,FALSE
4,fixed_vs_self_tuning,0,10,rand,0,1.2,FALSE,0,7,1,5,0,1,1,1,1,1,1,1,1,None,0,0,0,10,1,FALSE
5,fixed_vs_self_tuning,0,10,rand,0,1.2,FALSE,0,3,1,5,0,1,1,1,1,1,1,1,1,None,0,0,0,10,1,FALSE
6,fixed_vs_self_tuning,0,30,rand,0,1.1,FALSE,0,3,1,5,0,1,1,1,1,1,1,1,1,None,0,0,0,5,1,FALSE
7,fixed_vs_self_tuning,0,30,eval_squeeze,0.1,1,FALSE,0,5,5,5,0,1,1,0,0,0,0,1,1,None,0,0,0,5,1,FALSE
8,fixed_vs_self_tuning,0,50,eval_squeeze,0.1,1,FALSE,0,5,5,5,0,1,1,0,0,0,0,1,1,None,0,0,0,10,1,FALSE
9,fixed_vs_self_tuning,0,20,eval_squeeze,0.01,1,TRUE,1,5,5,5,1,1,1,0,0,0,0,1,1,None,0,0,0,5,1,FALSE
10,self_tuning_number_of_changes,0,20,eval_squeeze,0.01,1,TRUE,1,5,5,5,1,1,1,0,0,0,0,1,1,None,0,0,0,5,1,FALSE
11,fixed_vs_self_tuning,0,5,eval_squeeze,0.01,1,TRUE,1,3,3,3,1,1,1,0,0,0,0,1,1,None,0,0,0,5,1,FALSE
12,fixed_vs_self_tuning,0,50,eval_squeeze,0.01,1,TRUE,1,5,5,5,1,1,1,0,0,0,0,1,1,None,0,0,0,10,1,FALSE
13,fixed_vs_self_tuning,0,20,eval_squeeze,0.01,1,TRUE,1,3,3,5,1,1,1,0,0,0,0,1,1,None,0,0,0,10,1,FALSE
14,statistics_fixed_vs_self_tuning,0,20,eval_squeeze,0.01,1,TRUE,1,5,5,5,1,1,1,0,0,0,0,1,1,None,0,0,0,5,1,FALSE
15,statistics_fixed_vs_self_tuning,0,20,eval_squeeze,0.01,1,TRUE,1,3,3,3,1,1,1,0,0,0,0,1,1,None,0,0,0,10,1,FALSE
16,statistics_fixed_vs_self_tuning,0,20,eval_squeeze,0.01,1,FALSE,0,3,3,3,0,1,1,0,0,0,0,1,1,None,0,0,0,10,1,FALSE
